Old_Crime_ID	Crime_ID	Country	Link	Event_year	Event_date	Seizure_co	Seizure_ci	X	Y	N. of fire	Firearm_Ty	Ammunition	Storage	Shooting/h	N. of acto	Actors_nat	Actors_age	Actors_gen	Additional	Source	NUTS_ID
AT0001	AT001	Austria	http://www.oe24.at/oesterreich/chronik/salzburg/Mann-im-Pongau-in-beide-Beine-getroffen-0623925.ece;http://www.vol.at/news/welt/artikel/mann-bei-schiessstand-im-pongau-schwer-verletzt/cn/apa-1141771432;http://www.krone.at/krone/S25/object_id__181575/hxcms/index.html	2010.0	2010-01-21T00:00:00Z	Austria	Sankt Johann im Pongau	13.20223	47.34896	1.0	Rifle	N/A	N/A	Yes	1.0	Austrian	49.0	M	Hunting rifle	Press Review	AT32
AT0002	AT002	Austria	http://www.oe24.at/oesterreich/chronik/Mit-Gaspistole-auf-Nachbarn-gefeuert-0658152.ece;http://kaernten.orf.at/stories/427226/	2010.0	2010-03-04T00:00:00Z	Austria	Spittal an der Drau	13.49588	46.79819	1.0	Other	Yes	House	Yes	1.0	Austrian	49.0	M	A man shoots his neighbor with a gas air gun	Press Review	AT21
AT0003	AT003	Austria	http://www.krone.at/Nachrichten/Kaertner_Polizist_hortete_ueber_eine_Tonne_Waffen-Explosives_Arsenal-Story-221606	2010.0	2010-08-16T00:00:00Z	Austria	Carinthia (Region)	-	-	N/A	N/A	Yes	House	N/A	1.0	Austrian	N/A	M	War weapons and several hundred granades	Press Review	
AT0004	AT004	Austria	http://vorarlberg.orf.at/news/stories/2604446/;http://www.vol.at/raeuber-zu-langjaehriger-haft-verurteilt/3706686	2010.0	2010-12-01T00:00:00Z	Austria	Bregenz	9.74707	47.50303	1.0	Other	N/A	N/A	N/A	2.0	Turk;Turk	28;29	M;M	Stun gun	Press Review	AT34
AT0005	AT005	Austria	http://www.krone.at/Nachrichten/Fleischhauer_soll_als_Wilderer_Wirte_im_Ort_versorgt_haben-Schlimmer_Verdacht-Story-235879?utm_source=krone.at&utm_medium=RSS-Feed&utm_campaign=Nachrichten	2010.0	2010-12-15T00:00:00Z	Austria	Bad Ischl	13.62382	47.71153	1.0	N/A	N/A	Car	N/A	1.0	Austrian	N/A	M	Converted firearm	Press Review	AT31
AT0009	AT006	Austria	http://www.vol.at/cobra-raeumt-ortspolitiker-waffen-aus-dem-keller/news-20110217-06294225;http://diepresse.com/home/politik/innenpolitik/634844/Vorarlberg_FPOePolitiker-hortet-Waffen-und-NSRelikte?from=rss;http://www.vol.at/fpoe-ortspartei-mit-rechtsdrall/news-20110218-06343050;http://www.vol.at/fpoe-ortspartei-mit-rechtsdrall/news-20110218-06343050;http://vorarlberg.orf.at/stories/504146/	2011.0	2011-01-18T00:00:00Z	Austria	Götzis	9.64474	47.33369	N/A	N/A	Yes	House	N/A	1.0	Austrian	41.0	M	The weapons found are: rifles, 50 handguns and long guns, stabbing weapons, swords, sabers and knives - but also ammunition, from gunpowder to sleeves, in addition to Nazi material	Press Review	AT34
AT0010	AT007	Austria	http://www.kleinezeitung.at/kaernten/villach/villach/2692499/razzia-waffen-ss-material-beschlagnahmt.story;http://www.oe24.at/oesterreich/chronik/kaernten/Waffen-bei-Kaerntner-Neonazi-gefunden/19472516;	2011.0	2011-03-05T00:00:00Z	Austria	Villach	13.84874	46.61596	3.0	Other;Pistol;Shotgun	Yes	House	N/A	1.0	Austrian	23.0	M	The suspect also had three guns in his apartment: a sawed-off shotgun, softgun and a pistol, probably a relic of the Second World War.	Press Review	AT21
AT0011	AT008	Austria	http://news.orf.at/stories/2047374/;http://www.kleinezeitung.at/nachrichten/chronik/2697782/waffenhaendler-ring-polizei-zerschlagen.story;http://www.kleinezeitung.at/steiermark/liezen/2697782/waffenhaendler-ring-polizei-zerschlagen.story;http://www.kleinezeitung.at/nachrichten/chronik/2698107/waffenhandel-auch-sprengsaetze-gefunden.story;	2011.0	2011-03-12T00:00:00Z	Austria	Liezen	14.242438	47.568441	80.0	N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;	Yes	N/A	N/A	3.0	Austrian;Austrian;Austrian	22;40;60	M;M;M	80 pieces weapons, including several machine guns, silencers, handguns, carbines, rifles and even automatic weapons some of them are illigal and destinated to trade	Press Review	AT22
AT0012	AT009	Austria	http://steiermark.orf.at/stories/509691/;http://www.kleinezeitung.at/steiermark/hartberg/2719442/betrunkener-mann-schoss-wohnungsfenster.story	2011.0	2011-04-11T00:00:00Z	Austria	Hartberg	15.973044	47.281335	N/A	N/A	Yes	House	Yes	1.0	Austrian	40.0	M	The man repeatedly fired shots  with a gun out of his apartment with no goals	Press Review	AT22
AT0013	AT010	Austria	http://derstandard.at/1302515926360/Rechtsextremist-Kuessel-in-Wien-verhaftet;http://www.kleinezeitung.at/steiermark/graz/graz/2698107/waffenhandel-auch-sprengsaetze-gefunden.storyhttp://diepresse.com/home/panorama/oesterreich/641544/BurgenlandSteiermark_Waffenhaendlerring-ausgehoben?from=rss;http://www.wienerzeitung.at/DesktopDefault.aspx?TabID=4103&Alias=wzo&cob=555109;http://diepresse.com/home/politik/innenpolitik/649616/Wien_Rechtsextremist-Kuessel-angeblich-verhaftet?from=rss;http://derstandard.at/1302515926360/Hausdurchsuchungen-Rechtsextremist-Kuessel-in-Wien-verhaftet;http://www.kleinezeitung.at/nachrichten/chronik/2719579/rechtsextremist-kuessel-wien-verhaftet.story;http://www.wienerzeitung.at/DesktopDefault.aspx?TabID=4103&Alias=wzo&cob=555236;http://diepresse.com/home/politik/innenpolitik/650101/NeonaziHomepage_UHaft-fuer-Kuessel-beantragt?from=rss;http://www.kleinezeitung.at/nachrichten/politik/2720901/u-haft-fuer-hintermaenner-neonazi-homepage.story;http://wien.orf.at/stories/510035/;http://www.kleinezeitung.at/nachrichten/politik/2721503/u-haft-ueber-kuessel-wiederbetaetigung-verhaengt.story;http://www.oe24.at/oesterreich/politik/alpen-donau-info-Neonazi-Kuessel-jetzt-in-U-Haft/23953507;http://www.wienerzeitung.at/DesktopDefault.aspx?TabID=4103&Alias=wzo&cob=555575	2011.0	2011-04-12T00:00:00Z	Austria	Vienna	16.37278	48.20922	N/A	N/A	N/A	N/A	N/A	1.0	Austrian	N/A	M		Press Review	AT13
